ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
124068,Juan Carlos Vallejo Arrollo,M,21,175,70,Spain,ESP,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Freestyle,NA
124068,Juan Carlos Vallejo Arrollo,M,21,175,70,Spain,ESP,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
124192,"Cornelia ""Conny"" van Bentum",F,18,181,76,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Freestyle,NA
124192,"Cornelia ""Conny"" van Bentum",F,18,181,76,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Freestyle,NA
124192,"Cornelia ""Conny"" van Bentum",F,18,181,76,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
124192,"Cornelia ""Conny"" van Bentum",F,18,181,76,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Butterfly,NA
124192,"Cornelia ""Conny"" van Bentum",F,18,181,76,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Butterfly,NA
124278,Marc Van De Weghe,M,20,173,70,Belgium,BEL,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 400 metres Freestyle,NA
124278,Marc Van De Weghe,M,20,173,70,Belgium,BEL,1984 Summer,1984,Summer,Los Angeles,Swimming,"Swimming Men's 1,500 metres Freestyle",NA
124402,Brigitte Elizabeth Maria van der Lans (-Schuijt),F,16,175,68,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Backstroke,NA
124402,Brigitte Elizabeth Maria van der Lans (-Schuijt),F,16,175,68,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Backstroke,NA
124419,"Johanna Emerentia ""Jolande"" van der Meer (-Solomon)",F,19,174,68,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 400 metres Freestyle,NA
